,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
CarePlan.relatedPlan.modifierExtension,CarePlan.relatedPlan.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.relatedPlan.modifierExtension,,0.0,,*,,,,,,,,,left_only
CarePlan.relatedPlan.plan,CarePlan.relatedPlan.plan,,,,,,1.0,,1,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/CarePlan},,Plan relationship exists with,,A reference to the plan to which a relationship is asserted.,,,,,,,,,,,,CarePlan.relatedPlan.plan,,1.0,,1,,,,,,,,,left_only
CarePlan.status,CarePlan.status,,,,,,1.0,,1,,Y,,Y,,,,code,,proposed | draft | active | completed | cancelled,,"Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.",,,,Allows clinicians to determine whether the plan is actionable or not.,,required,,,,http://hl7.org/fhir/ValueSet/care-plan-status,,CarePlan.status,,1.0,,1,,,,,,CareTeam.status,,,left_only
CarePlan.subject,CarePlan.subject,,,,,,1.0,,1,,Y,,,,,,Reference {http://fhir.org/guides/argonaut/StructureDefinition/argo-patient},,Who care plan is for,,Identifies the patient or group whose intended care is described by the plan.,,,,,,,,,,,,CarePlan.subject,,0.0,,1,,,,,,CareTeam.status,,,left_only
CarePlan.support,CarePlan.support,,,,,,0.0,,*,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Resource},,Information considered as part of plan,,"Identifies portions of the patient's record that specifically influenced the formation of the plan.  These might include co-morbidities, recent procedures, limitations, recent assessments, etc.",,"Use ""concern"" to identify specific conditions addressed by the care plan.",,Identifies barriers and other considerations associated with the care plan.,,,,,,,,CarePlan.support,,0.0,,*,,,,,,,,,left_only
CarePlan.text,CarePlan.text,,,,"narrative
htmlxhtmldisplay",,0.0,,1,,,,,,,,Narrative,,"Text summary of the resource, for human interpretation",,"A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.",,Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative.,,,,,,,,,,CarePlan.text,,0.0,,1,,dom-1,,,,Act.text?,,,left_only
CareTeam,,CareTeam,,,,,,0.0,,*,,,,,,,,,,Planned participants in the coordination and delivery of care for a patient or group,,\-,,\-,,,,,,,,,,CareTeam,,0.0,,*,,,,"dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}",,"Entity. Role, or Act",right_only,
CareTeam.category,,CareTeam.category,,,,,,0.0,,*,,,,,,Y,,CodeableConcept {[]} {[]},,Type of team,,"Identifies what kind of team.  This is to support differentiation between multiple co-existing teams, such as care plan team, episode of care team, longitudinal care team.",,There may be multiple axis of categorization and one team may serve multiple purposes.,,Used for filtering what teams(s) are retrieved and displayed to different types of users.,,example,,Indicates the type of care team.,,http://hl7.org/fhir/ValueSet/care-team-category,,CareTeam.category,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.class,right_only,
CareTeam.contained,,CareTeam.contained,,,,"inline resources
anonymous resourcescontained resources",,0.0,,*,,,,,,,,Resource {[]} {[]},,"Contained, inline Resources",,"These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.",,"This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.",,,,,,,,,,DomainResource.contained,,0.0,,*,,,,,,,right_only,
CareTeam.encounter,,CareTeam.encounter,,,,,,0.0,,1,,,,,,Y,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]},,Encounter created as part of,,The Encounter during which this CareTeam was created or to which the creation of this record is tightly associated.,,"This will typically be the encounter the event occurred within, but some activities may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter.",,,,,,,,,,CareTeam.encounter,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.context,right_only,
CareTeam.extension,,CareTeam.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,DomainResource.extension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
CareTeam.id,,CareTeam.id,,,,,,0.0,,1,,,,,,Y,,string {[]} {[]},,Logical id of this artifact,,"The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.",,The only time that a resource does not have an id is when it is being submitted to the server using a create operation.,,,,,,,,,,Resource.id,,0.0,,1,,,,,,,right_only,
CareTeam.identifier,,CareTeam.identifier,,,,,,0.0,,*,,,,,,Y,,Identifier {[]} {[]},,External Ids for this team,,Business identifiers assigned to this care team by the performer or other systems which remain constant as the resource is updated and propagates from server to server.,,"This is a business identifier, not a resource identifier (see [discussion](http://hl7.org/fhir/R4/resource.html#identifiers)).  It is best practice for the identifier to only appear on a single resource instance, however business practices may occasionally dictate that multiple resource instances with the same identifier can exist - possibly even with different resource types.  For example, multiple Patient and a Person resource instance might share the same social insurance number.",,Allows identification of the care team as it is known by various participating systems and in a way that remains consistent across servers.,,,,,,,,CareTeam.identifier,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.identifier,right_only,
CareTeam.implicitRules,,CareTeam.implicitRules,,,,,,0.0,,1,,,,Y,,Y,,uri {[]} {[]},,A set of rules under which this content was created,,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.",,"Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.",,,,,,,,,,Resource.implicitRules,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.language,,CareTeam.language,,,,,,0.0,,1,,,,,,,,code {[]} {[]},,Language of the resource content,,The base language in which the resource is written.,,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",,,,preferred,,A human language.,,http://hl7.org/fhir/ValueSet/languages,,Resource.language,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.managingOrganization,,CareTeam.managingOrganization,,,,,,0.0,,*,,,,,,Y,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,Organization responsible for the care team,,The organization responsible for the care team.,,,,"Allows for multiple organizations to collaboratively manage cross-organizational, longitudinal care plan.",,,,,,,,CareTeam.managingOrganization,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.meta,,CareTeam.meta,,,,,,0.0,,1,,,,,,Y,,Meta {[]} {[]},,Metadata about the resource,,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.,,,,,,,,,,,,Resource.meta,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.modifierExtension,,CareTeam.modifierExtension,,,,"extensions
user content",,0.0,,*,,,,Y,,,,Extension {[]} {[]},,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,DomainResource.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
CareTeam.name,,CareTeam.name,,,,,,0.0,,1,,,,,,Y,,string {[]} {[]},,"Name of the team, such as crisis assessment team",,"A label for human use intended to distinguish like teams.  E.g. the ""red"" vs. ""green"" trauma teams.",,"The meaning/purpose of the team is conveyed in CareTeam.category.  This element may also convey semantics of the team (e.g. ""Red trauma team""), but its primary purpose is to distinguish between identical teams in a human-friendly way.  (""Team 18735"" isn't as friendly.).",,,,,,,,,,CareTeam.name,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.note,,CareTeam.note,,,,,,0.0,,*,,,,,,,,Annotation {[]} {[]},,Comments made about the CareTeam,,Comments made about the CareTeam.,,,,,,,,,,,,CareTeam.note,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.participant,,CareTeam.participant,,,,,,1.0,,*,,Y,,,,,,BackboneElement {[]} {[]},,Members of the team,,Identifies all people and organizations who are expected to be involved in the care team.,,,,,,,,,,,,CareTeam.participant,,0.0,,*,,ctm-1,,"ctm-1:CareTeam.participant.onBehalfOf can only be populated when CareTeam.participant.member is a Practitioner {onBehalfOf.exists() implies (member.resolve().iif(empty(), true, ofType(Practitioner).exists()))}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}",,REL (REL.4 is always the Patient) ( or PRT?),right_only,
CareTeam.participant.extension,,CareTeam.participant.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,Element.extension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
CareTeam.participant.id,,CareTeam.participant.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,Element.id,,0.0,,1,,,,,,,right_only,
CareTeam.participant.member,,CareTeam.participant.member,,,,,,1.0,,1,,Y,,,,Y,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitioner], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitionerrole], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-careteam], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-relatedperson]]}",,Who is involved,,The specific person or organization who is participating/expected to participate in the care team.,,"Patient only needs to be listed if they have a role other than ""subject of care"".

Member is optional because some participants may be known only by their role, particularly in draft plans.",,,,,,,,,,CareTeam.participant.member,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.actor,right_only,
CareTeam.participant.modifierExtension,,CareTeam.participant.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,BackboneElement.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
CareTeam.participant.onBehalfOf,,CareTeam.participant.onBehalfOf,,,,,,0.0,,1,,,,,,Y,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,Organization of the practitioner,,The organization of the practitioner.,,,,Practitioners can be associated with multiple organizations.  This element indicates which organization they were acting on behalf of.,,,,,,,,CareTeam.participant.onBehalfOf,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.participant.period,,CareTeam.participant.period,,,,,,0.0,,1,,,,,,,,Period {[]} {[]},,Time period of participant,,Indicates when the specific member or organization did (or is intended to) come into effect and end.,,,,,,,,,,,,CareTeam.participant.period,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.participant.role,,CareTeam.participant.role,,,,,,1.0,,1,,Y,,,,Y,,CodeableConcept {[]} {[]},,Type of involvement,,"Indicates specific responsibility of an individual within the care team, such as ""Primary care physician"", ""Trained social worker counselor"", ""Caregiver"", etc.",,Roles may sometimes be inferred by type of Practitioner.  These are relationships that hold only within the context of the care team.  General relationships should be handled as properties of the Patient resource directly.,,,,extensible,,"Indicates specific responsibility of an individual within the care team, such as Primary physician, Team coordinator, Caregiver, etc.",,http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.30,,CareTeam.participant.role,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,REL.2 (or PRT-4?),right_only,
CareTeam.period,,CareTeam.period,,,,,,0.0,,1,,,,,,Y,,Period {[]} {[]},,Time period team covers,,Indicates when the team did (or is intended to) come into effect and end.,,,,Allows tracking what team(s) are in effect at a particular time.,,,,,,,,CareTeam.period,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.init,right_only,
CareTeam.reasonCode,,CareTeam.reasonCode,,,,,,0.0,,*,,,,,,,,CodeableConcept {[]} {[]},,Why the care team exists,,Describes why the care team exists.,,,,,,example,,Indicates the reason for the care team.,,http://hl7.org/fhir/ValueSet/clinical-findings,,CareTeam.reasonCode,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.why[x],right_only,
CareTeam.reasonReference,,CareTeam.reasonReference,,,,,,0.0,,*,,,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition]]},,Why the care team exists,,Condition(s) that this care team addresses.,,,,,,,,,,,,CareTeam.reasonReference,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.why[x],right_only,
CareTeam.status,,CareTeam.status,,,,,,0.0,,1,,Y,,Y,,Y,,code {[]} {[]},,proposed | active | suspended | inactive | entered-in-error,,Indicates the current state of the care team.,,This element is labeled as a modifier because the status contains the code entered-in-error that marks the care team as not currently valid.,,,,required,,"Indicates whether the team is current , represents future intentions or is now a historical record.",,http://hl7.org/fhir/ValueSet/care-team-status,,CareTeam.status,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.status,right_only,
CareTeam.subject,,CareTeam.subject,,,,patient,,1.0,,1,,Y,,,,Y,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient]]},,Who care team is for,,Identifies the patient or group whose intended care is handled by the team.,,,,"Allows the team to care for a group (e.g. marriage) therapy. 
Allows for an organization to designate a team such as the PICC line team.",,,,,,,,CareTeam.subject,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.subject[x],right_only,
CareTeam.telecom,,CareTeam.telecom,,,,,,0.0,,*,,,,,,,,ContactPoint {[]} {[]},,A contact detail for the care team (that applies to all members),,A central contact detail for the care team (that applies to all members).,,The ContactPoint.use code of home is not appropriate to use. These contacts are not the contact details of individual care team members.,,,,,,,,,,CareTeam.telecom,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
CareTeam.text,,CareTeam.text,,,,"narrative
htmlxhtmldisplay",,0.0,,1,,,,,,,,Narrative {[]} {[]},,"Text summary of the resource, for human interpretation",,"A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.",,"Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.",,,,,,,,,,DomainResource.text,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Act.text?,right_only,
