,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Default Value,Default Value,Meaning When Missing,Meaning When Missing,Example,Example,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
Patient.extension-ethnicity,,,,,,,,,,,Y,,,,,,Extension {http://fhir.org/guides/argonaut/StructureDefinition/argo-ethnicity},Extension {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-ethnicity]]} {[]},Extension,US Core ethnicity Extension,An Extension,"Concepts classifying the person into a named category of humans sharing common history, traits, geographical origin or nationality.  The ethnicity codes used to represent these concepts are based upon the [CDC ethnicity and Ethnicity Code Set Version 1.0](http://www.cdc.gov/phin/resources/vocabulary/index.html) which includes over 900 concepts for representing race and ethnicity of which 43 reference ethnicity.  The ethnicity concepts are grouped by and pre-mapped to the 2 OMB ethnicity categories: - Hispanic or Latino - Not Hispanic or Latino.",,,,,,,,,,,,,,,,,,,,,Patient.extension,DomainResource.extension,,,,,,ele-1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.extension-genderIdentity,,Patient.extension,,genderIdentity,,,,0.0,,1,,,,,,,,Extension {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-genderIdentity]]} {[]},,The patient's gender identity,,The gender the patient identifies with. The Patient's gender identity is used as guidance (e.g. for staff) about how to interact with the patient.,,,,,,,,,,,,,,,,,,,,,,DomainResource.extension,,0,,*,,ele-1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Patient.extension-race,,,,,,,,,,,Y,,,,,,Extension {http://fhir.org/guides/argonaut/StructureDefinition/argo-race},Extension {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-race]]} {[]},Extension,US Core Race Extension,An Extension,"Concepts classifying the person into a named category of humans sharing common history, traits, geographical origin or nationality.  The race codes used to represent these concepts are based upon the [CDC Race and Ethnicity Code Set Version 1.0](http://www.cdc.gov/phin/resources/vocabulary/index.html) which includes over 900 concepts for representing race and ethnicity of which 921 reference race.  The race concepts are grouped by and pre-mapped to the 5 OMB race categories:

   - American Indian or Alaska Native
   - Asian
   - Black or African American
   - Native Hawaiian or Other Pacific Islander
   - White.",,,,,,,,,,,,,,,,,,,,,Patient.extension,DomainResource.extension,,,,,,ele-1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.gender,,,,,,,,,,,,,,,,Y,code,code {[]} {[]},,,,,"The gender may not match the biological sex as determined by genetics, or the individual's preferred identification. Note that for both humans and particularly animals, there are other legitimate possibilities than M and F, though the vast majority of systems and contexts only support M and F.  Systems providing decision support or enforcing business rules should ideally do this on the basis of Observations dealing with the specific gender aspect of interest (anatomical, chromosonal, social, etc.)  However, because these observations are infrequently recorded, defaulting to the administrative gender is common practice.  Where such defaulting occurs, rule enforcement should allow for the variation between administrative and biological, chromosonal and other gender aspects.  For example, an alert about a hysterectomy on a male should be handled as a warning or overrideable error, not a ""hard"" error.","The gender might not match the biological sex as determined by genetics or the individual's preferred identification. Note that for both humans and particularly animals, there are other legitimate possibilities than male and female, though the vast majority of systems and contexts only support male and female.  Systems providing decision support or enforcing business rules should ideally do this on the basis of Observations dealing with the specific sex or gender aspect of interest (anatomical, chromosomal, social, etc.)  However, because these observations are infrequently recorded, defaulting to the administrative gender is common practice.  Where such defaulting occurs, rule enforcement should allow for the variation between administrative and biological, chromosomal and other gender aspects.  For example, an alert about a hysterectomy on a male should be handled as a warning or overridable error, not a ""hard"" error.  See the Patient Gender and Sex section for additional information about communicating patient gender and sex.","Needed for identification of the individual, in combination with (at least) name and birth date. Gender of individual drives many clinical processes.","Needed for identification of the individual, in combination with (at least) name and birth date.",,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.patient.administrativeGenderCode,player[classCode=PSN|ANM and determinerCode=INSTANCE]/administrativeGender,,
Patient.generalPractitioner,,Patient.generalPractitioner,,,,careProvider,,0.0,,*,,,,,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}",,Patient's nominated primary care provider,,Patient's nominated care provider.,,"This may be the primary care provider (in a GP context), or it may be a patient nominated care manager in a community/disability setting, or even organization that will provide people to perform the care provider roles.  It is not to be used to record Care Teams, these should be in a CareTeam resource that may be linked to the CarePlan or EpisodeOfCare resources.
Multiple GPs may be recorded against the patient for various reasons, such as a student that has his home GP listed along with the GP at university during the school semesters, or a ""fly-in/fly-out"" worker that has the onsite GP also included with his home GP to remain aware of medical issues.

Jurisdictions may decide that they can profile this down to 1 if desired, or 1 per type.",,,,,,,,,,,,,,,,,,,,Patient.generalPractitioner,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,subjectOf.CareEvent.performer.AssignedEntity,right_only,
Patient.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},,,,,"The only time that a resource does not have an id is when it is being submitted to the server using a create operation. Bundles always have an id, though it is usually a generated UUID.",The only time that a resource does not have an id is when it is being submitted to the server using a create operation.,,,,,,,,,,,,,,,,,,,Patient.id,Resource.id,,,,,,,,,,,,
Patient.identifier,,,,,,,,,,,,,,,,Y,Identifier,Identifier {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.id,id,,
Patient.identifier.assigner,,,,,,,,,,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Organization},Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,,,,The reference may be just a text description of the assigner.,The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.identifier.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,Identifier.extension,open,0,Element.extension,*,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,
Patient.identifier.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,Identifier.id,Element.id,,,,,,,,,,,,
Patient.identifier.period,,,,,,,,,,,,,,,,,Period,Period {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.identifier.system,,,,,,,,,,,,,,,,Y,uri,uri {[]} {[]},The namespace for the identifier,The namespace for the identifier value,Establishes the namespace in which set of possible id values is unique.,"Establishes the namespace for the value - that is, a URL that describes a set values that are unique.",,Identifier.system is always case sensitive.,"There are many sequences of identifiers.  To perform matching, we need to know what sequence we're dealing with. The system identifies a particular sequence or set of unique identifiers.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.",,,,,"<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient or urn:ietf:rfc:3986 if the Identifier.value itself is a full uri""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>",,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.identifier.type,,,,,,,,,,,,,,,,,CodeableConcept,CodeableConcept {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.identifier.use,,,,,,,,,,,,,,,,,code,code {[]} {[]},usual | official | temp | secondary (If known),usual | official | temp | secondary | old (If known),,,"This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.",Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.,,,,,,,,,,,,,http://hl7.org/fhir/ValueSet/identifier-use,http://hl7.org/fhir/ValueSet/identifier-use|4.0.1,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.identifier.value,,,,,,,,,,,,,,,,Y,string,string {[]} {[]},,,The portion of the identifier typically displayed to the user and which is unique within the context of the system.,The portion of the identifier typically relevant to the user and which is unique within the context of the system.,"If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](http://hl7.org/fhir/R4/extension-rendered-value.html). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.implicitRules,,,,,,,,,,,,,,,,,uri,uri {[]} {[]},,,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element as much as possible.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.",,,,,,,,,,,,,,,,,,,Patient.implicitRules,Resource.implicitRules,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.language,,,,,,,,,,,,,,,,,code,code {[]} {[]},,,,,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",,,,,,,,,required,preferred,,,http://tools.ietf.org/html/bcp47,http://hl7.org/fhir/ValueSet/languages,,,,,Patient.language,Resource.language,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.link,,,,,,,,,,,,,,,,Y,BackboneElement,BackboneElement {[]} {[]},,,,,,,"There are multiple usecases:   * Duplicate patient records due to the clerical errors associated with the difficulties of identifying humans consistently, and * Distribution of patient information across multiple servers.","There are multiple use cases:   

* Duplicate patient records due to the clerical errors associated with the difficulties of identifying humans consistently, and 
* Distribution of patient information across multiple servers.",,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,outboundLink,,
Patient.link.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,,,,,,,,,,,Patient.link.extension,Element.extension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.link.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,Patient.link.id,Element.id,,,,,,,,,,,,
Patient.link.modifierExtension,,,,,,,,,,,,,,,,Y,Extension,Extension {[]} {[]},Extensions that cannot be ignored,Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,,,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,,Patient.link.modifierExtension,BackboneElement.modifierExtension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.link.other,,,,,,,,,,,,,Y,,,Y,Reference {http://hl7.org/fhir/StructureDefinition/Patient},"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}",The other patient resource that the link refers to,The other patient or related person resource that the link refers to,,,,Referencing a RelatedPerson here removes the need to use a Person record to associate a Patient and RelatedPerson as the same individual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,id,,
Patient.link.type,,,,,,,,,,,,,Y,,,Y,code,code {[]} {[]},replace | refer | seealso - type of link,replaced-by | replaces | refer | seealso,,,,,,,,,,,,,,,,,http://hl7.org/fhir/ValueSet/link-type,http://hl7.org/fhir/ValueSet/link-type|4.0.1,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,typeCode,,
Patient.managingOrganization,,,,,,,,,,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Organization},Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.providerOrganization,scoper,,
Patient.maritalStatus,,,,,,,,,,,,,,,,,CodeableConcept,CodeableConcept {[]} {[]},,,,,,,,,,,,,,,required,extensible,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.patient.maritalStatusCode,player[classCode=PSN]/maritalStatusCode,,
Patient.meta,,,,,,,,,,,,,,,,,Meta,Meta {[]} {[]},,,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.,,,,,,,,,,,,,,,,,,,,,Patient.meta,Resource.meta,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.modifierExtension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},,,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,,,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,,Patient.modifierExtension,DomainResource.modifierExtension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.multipleBirth[x],,,,,,,,,,,,,,,,,"boolean
integer","boolean {[]} {[]}
integer {[]} {[]}",,,Indicates whether the patient is part of a multiple or indicates the actual birth order.,Indicates whether the patient is part of a multiple (boolean) or indicates the actual birth order (integer).,,"Where the valueInteger is provided, the number is the birth number in the sequence. E.g. The middle birth in triplets would be valueInteger=2 and the third born would have valueInteger=3 If a boolean value was provided for this triplets example, then all 3 patient records would have valueBoolean=true (the ordering is not indicated).",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,"player[classCode=PSN|ANM and determinerCode=INSTANCE]/multipleBirthInd,  player[classCode=PSN|ANM and determinerCode=INSTANCE]/multipleBirthOrderNumber",,
Patient.name,,,,,,,,,,,,,,,,Y,HumanName,HumanName {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.patient.name,name,,
Patient.name.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,HumanName.extension,open,0,Element.extension,*,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,
Patient.name.family,,,,,,,1.0,0.0,*,1,,,,,,Y,string,string {[]} {[]},,,,,"For family name, hyphenated names such as ""Smith-Jones"" are a single name, but names with spaces such as ""Smith Jones"" are broken into multiple parts.","Family Name may be decomposed into specific parts using extensions (de, nl, es related cultures).",,,,,,,,,,,,,,,,,,,,,,,*,1,,us-core-6,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.name.given,,,,,,,1.0,0.0,,,,,,,,Y,string,string {[]} {[]},,,,,"If only initials are recorded, they may be used in place of the full name.  Not called ""first name"" since given names do not always come first.","If only initials are recorded, they may be used in place of the full name parts. Initials may be separated into multiple given names but often aren't due to paractical limitations.  This element is not called ""first name"" since given names do not always come first.",,,,,,,,,,,,,,,,,,,,,,,,,,us-core-6,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.name.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,HumanName.id,Element.id,,,,,,,,,,,,
Patient.name.period,,,,,,,,,,,,,,,,,Period,Period {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.name.prefix,,,,,,,,,,,,,,,,,string,string {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.name.suffix,,,,,,,,,,,,,,,,,string,string {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.name.text,,,,,,,,,,,,,,,,,string,string {[]} {[]},,,A full text representation of the name.,Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.,Can provide both a text representation and structured parts.,"Can provide both a text representation and parts. Applications updating a name SHALL ensure that when both text and parts are present,  no content is included in the text that isn't found in a part.",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.name.use,,,,,,,,,,,,,,,,,code,code {[]} {[]},,,,,"This is labeled as ""Is Modifier"" because applications should not mistake a temporary or old name etc.for a current/permanent one. Applications can assume that a name is current unless it explicitly says that it is temporary or old.",Applications can assume that a name is current unless it explicitly says that it is temporary or old.,,,,,,,,,,,The use of a human name,The use of a human name.,http://hl7.org/fhir/ValueSet/name-use,http://hl7.org/fhir/ValueSet/name-use|4.0.1,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Patient.photo,,,,,,,,,,,,,,,,,Attachment,Attachment {[]} {[]},,,,,,"Guidelines:
* Use id photos, not clinical photos.
* Limit dimensions to thumbnail.
* Keep byte count low to ease resource updates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,player[classCode=PSN|ANM and determinerCode=INSTANCE]/desc,,
Patient.telecom,,,,,,,,,,,,,,,,,ContactPoint,ContactPoint {[]} {[]},,,,,"A Patient may have multiple ways to be contacted with different uses or applicable periods.  May need to have options for contacting the person urgently and also to help with identification. The address may not go directly to the individual, but may reach another party that is able to proxy for the patient (i.e. home phone, or pet owner's phone).","A Patient may have multiple ways to be contacted with different uses or applicable periods.  May need to have options for contacting the person urgently and also to help with identification. The address might not go directly to the individual, but may reach another party that is able to proxy for the patient (i.e. home phone, or pet owner's phone).",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.telecom,telecom,,
Patient.telecom.extension,,Patient.telecom.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
Patient.telecom.id,,Patient.telecom.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
Patient.telecom.period,,Patient.telecom.period,,,,,,0.0,,1,,,,,,Y,,Period {[]} {[]},,Time period when the contact point was/is in use,,Time period when the contact point was/is in use.,,,,,,,,,,,,,,,,,,,,,,ContactPoint.period,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,"./usablePeriod[type=""IVL<TS>""]",right_only,
Patient.telecom.rank,,Patient.telecom.rank,,,,,,0.0,,1,,,,,,Y,,positiveInt {[]} {[]},,Specify preferred order of use (1 = highest),,Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.,,Note that rank does not necessarily follow the order in which the contacts are represented in the instance.,,,,,,,,,,,,,,,,,,,,ContactPoint.rank,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Patient.telecom.system,,Patient.telecom.system,,,,,,1.0,,1,,Y,,,,Y,,code {[]} {[]},,phone | fax | email | pager | url | sms | other,,Telecommunications form for contact point - what communications system is required to make use of the contact.,,,,,,,,,,,,required,,Telecommunications form for contact point.,,http://hl7.org/fhir/ValueSet/contact-point-system,,,,,,ContactPoint.system,,0,,1,,cpt-2,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,./scheme,right_only,
Patient.telecom.use,,Patient.telecom.use,,,,,,0.0,,1,,Y,,Y,,Y,,code {[]} {[]},,home | work | temp | old | mobile - purpose of this contact point,,Identifies the purpose for the contact point.,,Applications can assume that a contact is current unless it explicitly says that it is temporary or old.,,"Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.",,,,,,,,required,,,,http://hl7.org/fhir/ValueSet/contact-point-use,,,,,,ContactPoint.use,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,unique(./use),right_only,
