,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
MedicationRequest,,MedicationRequest,,,,"Prescription
Order",,0.0,,*,,,,,,,,,,Ordering of medication for patient or group,,\-,,\-,,,,,,,,,,,,,,MedicationRequest,,0,,*,,,,"dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}",,Request,right_only,
MedicationRequest.authoredOn,,MedicationRequest.authoredOn,,,,,,0.0,,1,,Y,,,,Y,,dateTime {[]} {[]},,When request was initially authored,,The date (and perhaps time) when the prescription was initially written or authored on.,,,,,,,,,,,,,,,,MedicationRequest.authoredOn,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.authoredOn,right_only,
MedicationRequest.basedOn,,MedicationRequest.basedOn,,,,,,0.0,,*,,,,,,Y,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation]]}",,What request fulfills,,A plan or request that is fulfilled in whole or in part by this medication request.,,,,,,,,,,,,,,,,MedicationRequest.basedOn,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.basedOn,right_only,
MedicationRequest.category,,MedicationRequest.category,,,,,,0.0,,*,,Y,,,,,,CodeableConcept {[]} {[]},,Type of medication usage,,"Indicates the type of medication request (for example, where the medication is expected to be consumed or administered (i.e. inpatient or outpatient)).",,The category can be used to include where the medication is expected to be consumed or other types of requests.,,,,example,,"A coded concept identifying the category of medication request.  For example, where the medication is to be consumed or administered, or the type of medication treatment.",,http://hl7.org/fhir/ValueSet/medicationrequest-category,,pattern:$this},,,,open,,MedicationRequest.category,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},right_only,
MedicationRequest.category-us-core,,MedicationRequest.category,,us-core,,,,0.0,,*,,Y,,,,,,CodeableConcept {[]} {[]},,Type of medication usage,,"Indicates the type of medication request (for example, where the medication is expected to be consumed or administered (i.e. inpatient or outpatient)).",,The category can be used to include where the medication is expected to be consumed or other types of requests.,,,,required,,The type of medication order.,,http://hl7.org/fhir/ValueSet/medicationrequest-category,,,,,,MedicationRequest.category,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Message/Body/NewRx/MedicationPrescribed/Directionsor Message/Body/NewRx/MedicationPrescribed/StructuredSIG,right_only,
MedicationRequest.contained,,MedicationRequest.contained,,,,"inline resources
anonymous resourcescontained resources",,0.0,,*,,,,,,,,Resource {[]} {[]},,"Contained, inline Resources",,"These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.",,"This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.",,,,,,,,,,,,,,DomainResource.contained,,0,,*,,,,,,,right_only,
MedicationRequest.courseOfTherapyType,,MedicationRequest.courseOfTherapyType,,,,,,0.0,,1,,,,,,,,CodeableConcept {[]} {[]},,Overall pattern of medication administration,,The description of the overall patte3rn of the administration of the medication to the patient.,,This attribute should not be confused with the protocol of the medication.,,,,example,,Identifies the overall pattern of medication administratio.,,http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy,,,,,,MedicationRequest.courseOfTherapyType,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Act.code where classCode = LIST and moodCode = EVN,right_only,
MedicationRequest.detectedIssue,,MedicationRequest.detectedIssue,,,,"Contraindication
Drug Utilization Review (DUR)Alert",,0.0,,*,,,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DetectedIssue]]},,Clinical Issue with action,,"Indicates an actual or potential clinical issue with or between one or more active or proposed clinical actions for a patient; e.g. Drug-drug interaction, duplicate therapy, dosage alert etc.",,This element can include a detected issue that has been identified either by a decision support system or by a clinician and may include information on the steps that were taken to address the issue.,,,,,,,,,,,,,,MedicationRequest.detectedIssue,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,".inboundRelationship[typeCode=SUBJ]/source[classCode=ALRT,moodCode=EVN].value",right_only,
MedicationRequest.dispenseRequest,,MedicationRequest.dispenseRequest,,,,,,0.0,,1,,,,,,,,BackboneElement {[]} {[]},,Medication supply authorization,,Indicates the specific details for the dispense or medication supply part of a medication request (also known as a Medication Prescription or Medication Order).  Note that this information is not always sent with the order.  There may be in some settings (e.g. hospitals) institutional or system support for completing the dispense details in the pharmacy department.,,,,,,,,,,,,,,,,MedicationRequest.dispenseRequest,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Message/Body/NewRx/MedicationPrescribed/ExpirationDate,right_only,
MedicationRequest.dispenseRequest.dispenseInterval,,MedicationRequest.dispenseRequest.dispenseInterval,,,,,,0.0,,1,,,,,,,,Duration {[]} {[]},,Minimum period of time between dispenses,,The minimum period of time that must occur between dispenses of the medication.,,,,,,,,,,,,,,,,MedicationRequest.dispenseRequest.dispenseInterval,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Supply.effectivetime[moodCode=RQO],right_only,
MedicationRequest.dispenseRequest.expectedSupplyDuration,,MedicationRequest.dispenseRequest.expectedSupplyDuration,,,,,,0.0,,1,,,,,,,,Duration {[]} {[]},,Number of days supply per dispense,,"Identifies the period time over which the supplied product is expected to be used, or the length of time the dispense is expected to last.",,"In some situations, this attribute may be used instead of quantity to identify the amount supplied by how long it is expected to last, rather than the physical quantity issued, e.g. 90 days supply of medication (based on an ordered dosage). When possible, it is always better to specify quantity, as this tends to be more precise. expectedSupplyDuration will always be an estimate that can be influenced by external factors.",,,,,,,,,,,,,,MedicationRequest.dispenseRequest.expectedSupplyDuration,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Message/Body/NewRx/MedicationPrescribed/Substitutions,right_only,
MedicationRequest.dispenseRequest.extension,,MedicationRequest.dispenseRequest.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.dispenseRequest.id,,MedicationRequest.dispenseRequest.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
MedicationRequest.dispenseRequest.initialFill,,MedicationRequest.dispenseRequest.initialFill,,,,,,0.0,,1,,,,,,,,BackboneElement {[]} {[]},,First fill details,,Indicates the quantity or duration for the first dispense of the medication.,,"If populating this element, either the quantity or the duration must be included.",,,,,,,,,,,,,,MedicationRequest.dispenseRequest.initialFill,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,SubstanceAdministration -> ActRelationship[sequenceNumber = '1'] -> Supply,right_only,
MedicationRequest.dispenseRequest.initialFill.duration,,MedicationRequest.dispenseRequest.initialFill.duration,,,,,,0.0,,1,,,,,,,,Duration {[]} {[]},,First fill duration,,The length of time that the first dispense is expected to last.,,,,,,,,,,,,,,,,MedicationRequest.dispenseRequest.initialFill.duration,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Supply.effectivetime[moodCode=RQO],right_only,
MedicationRequest.dispenseRequest.initialFill.extension,,MedicationRequest.dispenseRequest.initialFill.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.dispenseRequest.initialFill.id,,MedicationRequest.dispenseRequest.initialFill.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
MedicationRequest.dispenseRequest.initialFill.modifierExtension,,MedicationRequest.dispenseRequest.initialFill.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,BackboneElement.modifierExtension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.dispenseRequest.initialFill.quantity,,MedicationRequest.dispenseRequest.initialFill.quantity,,,,,,0.0,,1,,,,,,,,Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]},,First fill quantity,,The amount or quantity to provide as part of the first dispense.,,,,,,,,,,,,,,,,MedicationRequest.dispenseRequest.initialFill.quantity,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Supply.quantity[moodCode=RQO],right_only,
MedicationRequest.dispenseRequest.modifierExtension,,MedicationRequest.dispenseRequest.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,BackboneElement.modifierExtension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,,MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,,,,,,0.0,,1,,,,,,,,unsignedInt {[]} {[]},,Number of refills authorized,,"An integer indicating the number of times, in addition to the original dispense, (aka refills or repeats) that the patient can receive the prescribed medication. Usage Notes: This integer does not include the original order dispense. This means that if an order indicates dispense 30 tablets plus ""3 repeats"", then the order can be dispensed a total of 4 times and the patient can receive a total of 120 tablets.  A prescriber may explicitly say that zero refills are permitted after the initial dispense.",,"If displaying ""number of authorized fills"", add 1 to this number.",,,,,,,,,,,,,,MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Message/Body/NewRx/MedicationPrescribed/Quantity,right_only,
MedicationRequest.dispenseRequest.performer,,MedicationRequest.dispenseRequest.performer,,,,,,0.0,,1,,,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,Intended dispenser,,Indicates the intended dispensing Organization specified by the prescriber.,,,,,,,,,,,,,,,,MedicationRequest.dispenseRequest.performer,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,".outboundRelationship[typeCode=COMP].target[classCode=SPLY, moodCode=RQO] .participation[typeCode=PRF].role[scoper.determinerCode=INSTANCE]",right_only,
MedicationRequest.dispenseRequest.quantity,,MedicationRequest.dispenseRequest.quantity,,,,,,0.0,,1,,,,,,,,Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]},,Amount of medication to supply per dispense,,The amount that is to be dispensed for one fill.,,,,,,,,,,,,,,,,MedicationRequest.dispenseRequest.quantity,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Message/Body/NewRx/MedicationPrescribed/DaysSupply,right_only,
MedicationRequest.dispenseRequest.validityPeriod,,MedicationRequest.dispenseRequest.validityPeriod,,,,,,0.0,,1,,,,,,,,Period {[]} {[]},,Time period supply is authorized for,,This indicates the validity period of a prescription (stale dating the Prescription).,,It reflects the prescribers' perspective for the validity of the prescription. Dispenses must not be made against the prescription outside of this period. The lower-bound of the Dispensing Window signifies the earliest date that the prescription can be filled for the first time. If an upper-bound is not specified then the Prescription is open-ended or will default to a stale-date based on regulations.,,"Indicates when the Prescription becomes valid, and when it ceases to be a dispensable Prescription.",,,,,,,,,,,,MedicationRequest.dispenseRequest.validityPeriod,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Message/Body/NewRx/MedicationPrescribed/Refills,right_only,
MedicationRequest.doNotPerform,,MedicationRequest.doNotPerform,,,,,,0.0,,1,,,,Y,,Y,,boolean {[]} {[]},,True if request is prohibiting action,,If true indicates that the provider is asking for the medication request not to occur.,,"If do not perform is not specified, the request is a positive request e.g. ""do perform"".",,,,,,,,,,,,,,MedicationRequest.doNotPerform,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,SubstanceAdministration.actionNegationInd,right_only,
MedicationRequest.dosageInstruction,,MedicationRequest.dosageInstruction,,,,,,0.0,,*,,Y,,,,,,Dosage {[]} {[]},,How the medication should be taken,,Indicates how the medication is to be used by the patient.,,"There are examples where a medication request may include the option of an oral dose or an Intravenous or Intramuscular dose.  For example, ""Ondansetron 8mg orally or IV twice a day as needed for nausea"" or ""Compazine® (prochlorperazine) 5-10mg PO or 25mg PR bid prn nausea or vomiting"".  In these cases, two medication requests would be created that could be grouped together.  The decision on which dose and route of administration to use is based on the patient's condition at the time the dose is needed.",,,,,,,,,,,,,,MedicationRequest.dosageInstruction,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.occurrence[x],right_only,
MedicationRequest.dosageInstruction.additionalInstruction,,MedicationRequest.dosageInstruction.additionalInstruction,,,,,,0.0,,*,,,,,,Y,,CodeableConcept {[]} {[]},,"Supplemental instruction or warnings to the patient - e.g. ""with meals"", ""may cause drowsiness""",,"Supplemental instructions to the patient on how to take the medication  (e.g. ""with meals"" or""take half to one hour before food"") or warnings for the patient about the medication (e.g. ""may cause drowsiness"" or ""avoid exposure of skin to direct sunlight or sunlamps"").",,"Information about administration or preparation of the medication (e.g. ""infuse as rapidly as possibly via intraperitoneal port"" or ""immediately following drug x"") should be populated in dosage.text.",,"Additional instruction is intended to be coded, but where no code exists, the element could include text.  For example, ""Swallow with plenty of water"" which might or might not be coded.",,example,,"A coded concept identifying additional instructions such as ""take with water"" or ""avoid operating heavy machinery"".",,http://hl7.org/fhir/ValueSet/additional-instruction-codes,,,,,,Dosage.additionalInstruction,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.text,right_only,
MedicationRequest.dosageInstruction.asNeeded[x],,MedicationRequest.dosageInstruction.asNeeded[x],,,,,,0.0,,1,,,,,,Y,,"boolean {[]} {[]}
CodeableConcept {[]} {[]}",,"Take ""as needed"" (for x)",,"Indicates whether the Medication is only taken when needed within a specific dosing schedule (Boolean option), or it indicates the precondition for taking the Medication (CodeableConcept).",,"Can express ""as needed"" without a reason by setting the Boolean = True.  In this case the CodeableConcept is not populated.  Or you can express ""as needed"" with a reason by including the CodeableConcept.  In this case the Boolean is assumed to be True.  If you set the Boolean to False, then the dose is given according to the schedule and is not ""prn"" or ""as needed"".",,,,example,,"A coded concept identifying the precondition that should be met or evaluated prior to consuming or administering a medication dose.  For example ""pain"", ""30 minutes prior to sexual intercourse"", ""on flare-up"" etc.",,http://hl7.org/fhir/ValueSet/medication-as-needed-reason,,,,,,Dosage.asNeeded[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,".outboundRelationship[typeCode=PRCN].target[classCode=OBS, moodCode=EVN, code=""as needed""].value=boolean or codable concept",right_only,
MedicationRequest.dosageInstruction.doseAndRate,,MedicationRequest.dosageInstruction.doseAndRate,,,,,,0.0,,*,,,,,,Y,,Element {[]} {[]},,Amount of medication administered,,The amount of medication administered.,,,,,,,,,,,,,,,,Dosage.doseAndRate,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,TQ1-2,right_only,
MedicationRequest.dosageInstruction.doseAndRate.dose[x],,MedicationRequest.dosageInstruction.doseAndRate.dose[x],,,,,,0.0,,1,,,,,,Y,,"Range {[]} {[]}
Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}",,Amount of medication per dose,,Amount of medication per dose.,,"Note that this specifies the quantity of the specified medication, not the quantity for each active ingredient(s). Each ingredient amount can be communicated in the Medication resource. For example, if one wants to communicate that a tablet was 375 mg, where the dose was one tablet, you can use the Medication resource to document that the tablet was comprised of 375 mg of drug XYZ. Alternatively if the dose was 375 mg, then you may only need to use the Medication resource to indicate this was a tablet. If the example were an IV such as dopamine and you wanted to communicate that 400mg of dopamine was mixed in 500 ml of some IV solution, then this would all be communicated in the Medication resource. If the administration is not intended to be instantaneous (rate is present or timing has a duration), this can be specified to convey the total amount to be administered over the period of time as indicated by the schedule e.g. 500 ml in dose, with timing used to convey that this should be done over 4 hours.",,The amount of therapeutic or other substance given at one administration event.,,,,,,,,,,,,Dosage.doseAndRate.dose[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.doseQuantity,right_only,
MedicationRequest.dosageInstruction.doseAndRate.extension,,MedicationRequest.dosageInstruction.doseAndRate.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
MedicationRequest.dosageInstruction.doseAndRate.id,,MedicationRequest.dosageInstruction.doseAndRate.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
MedicationRequest.dosageInstruction.doseAndRate.rate[x],,MedicationRequest.dosageInstruction.doseAndRate.rate[x],,,,,,0.0,,1,,,,,,Y,,"Ratio {[]} {[]}
Range {[]} {[]}Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}",,Amount of medication per unit of time,,Amount of medication per unit of time.,,"It is possible to supply both a rate and a doseQuantity to provide full details about how the medication is to be administered and supplied. If the rate is intended to change over time, depending on local rules/regulations, each change should be captured as a new version of the MedicationRequest with an updated rate, or captured with a new MedicationRequest with the new rate.It is possible to specify a rate over time (for example, 100 ml/hour) using either the rateRatio and rateQuantity.  The rateQuantity approach requires systems to have the capability to parse UCUM grammer where ml/hour is included rather than a specific ratio where the time is specified as the denominator.  Where a rate such as 500ml over 2 hours is specified, the use of rateRatio may be more semantically correct than specifying using a rateQuantity of 250 mg/hour.",,"Identifies the speed with which the medication was or will be introduced into the patient. Typically the rate for an infusion e.g. 100 ml per 1 hour or 100 ml/hr.  May also be expressed as a rate per unit of time e.g. 500 ml per 2 hours.   Other examples: 200 mcg/min or 200 mcg/1 minute; 1 liter/8 hours.  Sometimes, a rate can imply duration when expressed as total volume / duration (e.g.  500mL/2 hours implies a duration of 2 hours).  However, when rate doesn't imply duration (e.g. 250mL/hour), then the timing.repeat.duration is needed to convey the infuse over time period.",,,,,,,,,,,,Dosage.doseAndRate.rate[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.rateQuantity,right_only,
MedicationRequest.dosageInstruction.doseAndRate.type,,MedicationRequest.dosageInstruction.doseAndRate.type,,,,,,0.0,,1,,,,,,Y,,CodeableConcept {[]} {[]},,The kind of dose or rate specified,,"The kind of dose or rate specified, for example, ordered or calculated.",,,,"If the type is not populated, assume to be ""ordered"".",,example,,The kind of dose or rate specified.,,http://hl7.org/fhir/ValueSet/dose-rate-type,,,,,,Dosage.doseAndRate.type,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,RXO-21; RXE-23,right_only,
MedicationRequest.dosageInstruction.extension,,MedicationRequest.dosageInstruction.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
MedicationRequest.dosageInstruction.id,,MedicationRequest.dosageInstruction.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
MedicationRequest.dosageInstruction.maxDosePerAdministration,,MedicationRequest.dosageInstruction.maxDosePerAdministration,,,,,,0.0,,1,,,,,,Y,,Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]},,Upper limit on medication per administration,,Upper limit on medication per administration.,,"This is intended for use as an adjunct to the dosage when there is an upper cap.  For example, a body surface area related dose with a maximum amount, such as 1.5 mg/m2 (maximum 2 mg) IV over 5 – 10 minutes would have doseQuantity of 1.5 mg/m2 and maxDosePerAdministration of 2 mg.",,The maximum total quantity of a therapeutic substance that may be administered to a subject per administration.,,,,,,,,,,,,Dosage.maxDosePerAdministration,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,not supported,right_only,
MedicationRequest.dosageInstruction.maxDosePerLifetime,,MedicationRequest.dosageInstruction.maxDosePerLifetime,,,,,,0.0,,1,,,,,,Y,,Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]},,Upper limit on medication per lifetime of the patient,,Upper limit on medication per lifetime of the patient.,,,,The maximum total quantity of a therapeutic substance that may be administered per lifetime of the subject.,,,,,,,,,,,,Dosage.maxDosePerLifetime,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,not supported,right_only,
MedicationRequest.dosageInstruction.maxDosePerPeriod,,MedicationRequest.dosageInstruction.maxDosePerPeriod,,,,,,0.0,,1,,,,,,Y,,Ratio {[]} {[]},,Upper limit on medication per unit of time,,Upper limit on medication per unit of time.,,"This is intended for use as an adjunct to the dosage when there is an upper cap.  For example ""2 tablets every 4 hours to a maximum of 8/day"".",,"The maximum total quantity of a therapeutic substance that may be administered to a subject over the period of time.  For example, 1000mg in 24 hours.",,,,,,,,,,,,Dosage.maxDosePerPeriod,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.maxDoseQuantity,right_only,
