,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
Device.udiCarrier,,Device.udiCarrier,,,,,,0.0,,1,,Y,,,,Y,,BackboneElement {[]} {[]},,Unique Device Identifier (UDI) Barcode string,,"Unique device identifier (UDI) assigned to device label or package.  Note that the Device may include multiple udiCarriers as it either may include just the udiCarrier for the jurisdiction it is sold, or for multiple jurisdictions it could have been sold.",,Some devices may not have UDI information (for example. historical data or patient reported data).,,,,,,,,,,Device.udiCarrier,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.id and .code,right_only,
Device.udiCarrier.carrierAIDC,,Device.udiCarrier.carrierAIDC,,,,Automatic Identification and Data Capture,,0.0,,1,,,,,,Y,,base64Binary {[]} {[]},,UDI Machine Readable Barcode String,,"The full UDI carrier of the Automatic Identification and Data Capture (AIDC) technology representation of the barcode string as printed on the packaging of the device - e.g., a barcode or RFID.   Because of limitations on character sets in XML and the need to round-trip JSON data through XML, AIDC Formats *SHALL* be base64 encoded.",,"The AIDC form of UDIs should be scanned or otherwise used for the identification of the device whenever possible to minimize errors in records resulting from manual transcriptions. If separate barcodes for DI and PI are present, concatenate the string with DI first and in order of human readable expression on label.",,,,,,,,,,Device.udiCarrier.carrierAIDC,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Role.id.extension,right_only,
Device.udiCarrier.carrierHRF,,Device.udiCarrier.carrierHRF,,,,"Human Readable Form
UDIBarcode String",,0.0,,1,,Y,,,,Y,,string {[]} {[]},,UDI Human Readable Barcode String,,The full UDI carrier as the human readable form (HRF) representation of the barcode string as printed on the packaging of the device.,,"If separate barcodes for DI and PI are present, concatenate the string with DI first and in order of human readable expression on label.",,,,,,,,,,Device.udiCarrier.carrierHRF,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Role.id.extension,right_only,
Device.udiCarrier.deviceIdentifier,,Device.udiCarrier.deviceIdentifier,,,,DI,,1.0,,1,,Y,,,,Y,,string {[]} {[]},,Mandatory fixed portion of UDI,,"The device identifier (DI) is a mandatory, fixed portion of a UDI that identifies the labeler and the specific version or model of a device.",,,,,,,,,,,,Device.udiCarrier.deviceIdentifier,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Role.id.extension,right_only,
Device.udiCarrier.entryType,,Device.udiCarrier.entryType,,,,,,0.0,,1,,,,,,,,code {[]} {[]},,barcode | rfid | manual +,,A coded entry to indicate how the data was entered.,,,,Supports a way to distinguish hand entered from machine read data.,,required,,Codes to identify how UDI data was entered.,,http://hl7.org/fhir/ValueSet/udi-entry-type|4.0.1,,Device.udiCarrier.entryType,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.udiCarrier.extension,,Device.udiCarrier.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,Element.extension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.udiCarrier.id,,Device.udiCarrier.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,Element.id,,0.0,,1,,,,,,,right_only,
Device.udiCarrier.issuer,,Device.udiCarrier.issuer,,,,Barcode System,,0.0,,1,,,,,,,,uri {[]} {[]},,UDI Issuing Organization,,"Organization that is charged with issuing UDIs for devices.  For example, the US FDA issuers include :
1) GS1: 
http://hl7.org/fhir/NamingSystem/gs1-di, 
2) HIBCC:
http://hl7.org/fhir/NamingSystem/hibcc-dI, 
3) ICCBBA for blood containers:
http://hl7.org/fhir/NamingSystem/iccbba-blood-di, 
4) ICCBA for other devices:
http://hl7.org/fhir/NamingSystem/iccbba-other-di.",,,,,,,,,,,,Device.udiCarrier.issuer,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Role.id.root,right_only,
Device.udiCarrier.jurisdiction,,Device.udiCarrier.jurisdiction,,,,,,0.0,,1,,,,,,,,uri {[]} {[]},,Regional UDI authority,,"The identity of the authoritative source for UDI generation within a  jurisdiction.  All UDIs are globally unique within a single namespace with the appropriate repository uri as the system.  For example,  UDIs of devices managed in the U.S. by the FDA, the value is  http://hl7.org/fhir/NamingSystem/fda-udi.",,,,Allows a recipient of a UDI to know which database will contain the UDI-associated metadata.,,,,,,,,Device.udiCarrier.jurisdiction,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Role.scoper,right_only,
Device.udiCarrier.modifierExtension,,Device.udiCarrier.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,BackboneElement.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.url,,,,,,,,,,,,,,,,,uri,uri {[]} {[]},,,,,"If the device is running a FHIR server, the network address should  be the root URL from which a conformance statement may be retrieved.","If the device is running a FHIR server, the network address should  be the Base URL from which a conformance statement may be retrieved.",,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.version,,,,,,,,,1,*,,,,,,,string,BackboneElement {[]} {[]},Version number (i.e. software),The actual design of the device or software version running on the device,"The version of the device, if the device has multiple releases under the same model, or if the device is software or carries firmware.",The actual design of the device or software version running on the device.,,,,,,,,,,,,,,,1,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.softwareName (included as part),,,
Device.version.component,,Device.version.component,,,,,,0.0,,1,,,,,,,,Identifier {[]} {[]},,A single component of the device version,,A single component of the device version.,,,,,,,,,,,,Device.version.component,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.what[x],right_only,
Device.version.extension,,Device.version.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,Element.extension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.version.id,,Device.version.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,Element.id,,0.0,,1,,,,,,,right_only,
Device.version.modifierExtension,,Device.version.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,BackboneElement.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.version.type,,Device.version.type,,,,Σ,,0.0,,1,,,,,,,,CodeableConcept {[]} {[]},,The type of the device version,,The type of the device version.,,,,,,,,,,,,Device.version.type,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.version.value,,Device.version.value,,,,,,1.0,,1,,,,,,,,string {[]} {[]},,The version text,,The version text.,,,,,,,,,,,,Device.version.value,,1.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
